baseload,ev,fridge,hair_dryer,pc,pv,resistive,synchronous,washing_machine,laptop,stand_cooler,table_fan,table_pv,hour
-0.026763692,0.005025193,0.0389213,-0.10955198,-0.03556367,0.057241894,0.08941054,-0.06749178,0.044208117,60.550556,28.295935,2.8009586,-1.4725962,0.14166666666666666
-0.054027528,0.03379172,-0.07415729,-0.008399442,-0.028471373,-0.04597644,-0.06055838,-0.047463275,0.005211029,61.48131,26.479727,8.576416,-0.42470357,0.14305555555555555
0.0065969527,0.020534545,0.027983204,-0.010505974,-0.052613966,0.0075200014,-0.047705203,-0.09029915,0.024099268,59.648388,28.544521,15.817862,-0.5737618,0.14444444444444443
-0.00037267804,-0.014938608,0.050009742,-0.044316635,-0.082164116,-0.008664001,-0.053980872,-0.1114969,0.0076057203,60.198746,28.354095,15.937581,-0.77168345,0.14583333333333334
0.12502456,0.09279881,0.010808237,-0.046695918,0.058265552,0.05037251,-0.07219764,-0.0075776353,-0.06436717,9.647697,27.46153,15.589566,-3.0275245,0.14722222222222223
0.14996782,-0.10947667,0.15479101,-0.04135461,0.11033026,0.22605509,-0.010464102,0.1382742,-0.015273199,3.2983365,12.424109,18.693672,-1.8704783,0.1486111111111111
0.086094,-0.043127984,0.010252424,0.018412463,-0.07836182,-0.11478664,-0.02753459,-0.022392683,0.042579047,28.819023,2.582573,14.290074,-1.1811426,0.15
-0.014748558,0.010713473,0.008098975,0.004030779,-0.04499481,-0.06994328,0.01535593,0.017478526,0.055161968,37.601547,27.31035,15.286262,-0.7772329,0.15138888888888888
-0.04492584,0.003789343,0.031105123,-0.021913245,-0.03196072,-0.017105546,-0.012603268,0.005787097,0.0068504065,37.639076,27.254375,15.1286955,-1.361561,0.1527777777777778
-0.05634114,-0.060210764,0.068008274,0.024547428,-0.10588632,-0.015742403,-0.054949835,-0.1398674,-0.029294284,39.718136,26.64004,8.278648,-0.95371854,0.15416666666666667
0.15487313,0.0027681887,0.079500735,0.054085124,-0.0671126,-0.05505376,0.0747814,-0.0071810335,-0.034948654,40.048187,26.859272,3.0586226,-1.1116848,0.15555555555555556
-0.017225385,0.044144504,0.02454219,0.028665155,0.038761612,0.0014962628,-0.08079952,-0.13175112,-0.049495146,53.16369,27.390835,15.783424,-2.4746323,0.15694444444444444
-0.010632351,0.047507055,0.038918674,-0.022141516,-0.03681024,0.01269516,-0.12039718,-0.0684536,0.013382476,46.56224,27.744955,15.111517,-1.662351,0.15833333333333333
-0.084380314,0.034154885,-0.0012949109,-0.059626818,-0.039125167,0.013439503,-0.06758896,-0.0059378445,0.030325677,58.475887,27.392218,15.287146,-1.3408425,0.1597222222222222
-0.07883443,-0.014675796,-0.051984303,-0.016543627,-0.026755579,-0.020838935,-0.063606195,-0.10613216,0.026044302,43.836243,27.589525,15.194964,-1.579822,0.16111111111111112
0.013431922,-0.01463829,-0.051238127,-0.09965952,-0.13433135,0.059449337,-0.055939056,-0.21716508,0.03781525,54.610283,9.186019,16.797335,-0.7816917,0.1625
0.12042814,-0.021653816,0.15367171,-0.015536398,-0.26611847,0.034773737,0.06667194,-0.11827249,0.0040720273,60.23044,8.2484045,14.903541,-0.60966665,0.1638888888888889
0.00074882805,0.07233086,0.032017812,-0.045284107,8.971244e-05,0.027614795,-0.015103251,-0.004003428,-0.0012789667,58.217613,27.662216,14.964296,-1.4946685,0.16527777777777777
-0.043152586,0.1147151,0.041388866,-0.046703324,0.081001006,0.044079397,-0.11378719,-0.08393621,-0.01366039,60.840164,28.140465,14.282511,-1.1421313,0.16666666666666666
-0.037474573,-0.035652697,-0.03633786,-0.0033766031,-0.093772925,0.002377063,-0.023850366,-0.056786023,0.060062326,57.072983,28.25405,-1.3770655,-1.8547026,0.16805555555555557
0.026052572,0.027219042,0.07110324,-0.06579286,-0.13303888,0.0816427,-0.14676338,-0.045071155,0.011300903,60.252502,28.00126,13.067839,-0.3815318,0.16944444444444445
-0.07248837,-0.023213506,0.01292862,0.029902011,-0.0010439456,-0.027073618,-0.109444775,-0.1466369,0.0038171243,62.63457,29.295748,15.919624,-0.33181846,0.17083333333333334
-0.022230566,-0.034863204,0.015693419,-0.108695254,-0.025213078,-0.008563098,0.003873989,-0.09195673,0.0052223653,59.82611,27.772272,15.71447,-0.8891623,0.17222222222222222
-0.06355789,-0.11178483,-0.020262219,0.007696539,0.018927097,0.007964432,-0.09929755,-0.12678051,-0.020139817,63.22995,29.810263,15.940741,-0.12411863,0.1736111111111111
-0.07906674,-0.11627419,0.0012719333,-0.030203328,-0.006764561,-0.0018736832,-0.11209246,-0.18514916,-0.031057304,63.767796,30.04597,15.879359,-0.029193297,0.175
0.0068376884,0.07638852,-0.092259385,-0.13393623,-0.18878073,-0.07387701,-0.09914178,-0.23371199,0.083598696,60.97559,4.8090873,17.357513,-1.5996304,0.1763888888888889
0.036715113,0.0030197576,0.15549077,-0.09351911,-0.07445427,-0.04191451,-0.015819445,-0.054398872,0.03633614,58.983013,12.894491,15.333689,-0.96342707,0.17777777777777778
-0.004713133,0.048958242,0.05559629,-0.0009799749,-0.012683161,-0.022891242,-0.02482842,-0.07446811,0.004802227,60.324924,28.36082,15.75246,-0.8990756,0.17916666666666667
0.019652814,0.0071155503,0.057996675,-0.06676939,0.02968847,0.12516466,0.112518415,0.029244132,-0.02754285,60.36802,27.639282,5.1252723,-1.5479665,0.18055555555555555
0.06644273,-0.017413422,-0.031199448,0.04113374,-0.025226563,0.060591083,-0.0057400167,-0.055309728,0.017810747,60.44053,26.859957,6.814902,-0.49354422,0.18194444444444444
-0.09407994,0.020798124,0.042974852,-0.16413547,0.011674963,0.054715395,0.05109541,0.049979348,0.016470257,54.76671,27.702627,15.2007,-0.9063748,0.18333333333333332
-0.0197092,-0.07984747,-0.002089128,0.057128433,-0.08731995,-0.009787966,0.025601923,-0.07252466,0.06546106,3.47149,27.705217,15.251845,-2.2578533,0.18472222222222223
0.110693865,-0.15659264,0.01958371,-0.022420973,-0.10760709,-0.021877807,0.083008364,-0.020809337,0.10996893,11.69269,27.662722,15.060645,-1.4525462,0.18611111111111112
-0.0117768645,0.009465307,0.07404327,-0.05430518,-0.051196553,-0.014843594,0.011606753,-0.016118325,-0.026686033,30.108128,27.018572,15.568048,-0.9256319,0.1875
0.00073378533,0.008957237,0.020914145,0.01162269,-0.049953885,0.024056613,0.011977419,-0.0400692,-0.02776325,36.87315,27.174795,15.512853,-1.3503367,0.18888888888888888
0.070620336,0.06608326,0.074480936,0.09349937,-0.19262886,-0.062285673,-0.012862191,-0.05509927,0.010835394,39.109848,-0.31250167,14.290489,-2.3820941,0.19027777777777777
0.061335053,0.086710595,0.0623385,-0.002910167,-0.18239495,0.030863658,0.022119328,-0.08650895,-0.040056385,37.808712,18.516453,12.812168,-0.6370666,0.19166666666666668
0.050555892,0.005529277,0.06790787,-0.028435662,0.01800058,0.07038952,0.11309989,-0.123305805,-0.08749975,44.88151,25.764338,11.288554,-1.3353602,0.19305555555555556
0.041708037,-0.09060249,0.04402676,0.052623086,-0.16747752,0.019479282,0.022562996,-0.21956965,0.040309355,50.912773,26.938953,1.8797009,-2.2320557,0.19444444444444445
0.052679628,-0.010502532,0.09448798,-0.023992509,-0.11133195,0.042653017,-0.05661867,-0.017047532,0.005937081,49.57041,27.808743,15.226126,-1.5338136,0.19583333333333333
0.01812119,0.031857148,0.016733162,0.0012561157,-0.03615644,0.018522497,0.03360793,0.019074984,0.07474816,55.061035,27.628048,15.401299,-1.8282335,0.19722222222222222
-0.06329866,0.0033200905,-0.086846985,0.013638765,0.00034870207,0.01852915,-0.04503295,-0.083726175,0.008742128,43.456764,27.724771,15.243273,-1.877397,0.1986111111111111
-0.0512895,0.08467427,0.050420437,-0.040421546,-0.041246288,-0.01348507,-0.04689119,-0.032037564,0.020874735,59.8362,28.328606,15.900545,-0.81072307,0.2
0.010287978,0.02603668,-0.00011602044,-0.048194647,0.03500519,-0.014430676,-0.0036762953,-0.04716845,0.05037108,59.948353,28.23468,15.746546,-1.2022605,0.2013888888888889
-0.051413342,0.082534954,0.012032226,-0.07402252,-0.06357319,-0.016749855,-0.03915672,-0.0411006,-0.036791094,59.19821,24.773947,14.704848,-2.026499,0.20277777777777778
0.03811107,0.1003498,0.012601964,0.011890203,-0.090759434,0.021923438,0.025342911,-0.020458505,-0.09079318,59.20671,-1.5606192,15.251644,-0.7291864,0.20416666666666666
0.07751843,0.12028413,-0.091672875,-0.026034266,-0.056199946,0.04256028,-0.12468363,0.050466746,0.06355745,56.8197,22.954624,14.678872,-1.2543132,0.20555555555555555
-0.03549464,0.04274535,0.0028540492,-0.014129385,-0.10589833,0.029422566,-0.013699278,-0.06846961,0.029072467,59.919426,28.33327,-0.83546185,-1.1917499,0.20694444444444443
-0.049991444,-0.10806155,0.004926227,-0.051831767,-0.00025197119,0.08295368,-0.17015496,-0.12354983,0.038550638,62.785175,27.90083,11.600584,0.32401094,0.20833333333333334
-0.03216608,0.0040218905,0.06877567,-0.04666856,-0.038844876,-0.009355936,-0.07347411,-0.066376455,-0.0035994668,60.750065,28.471237,16.071138,-0.63358784,0.20972222222222223
-0.09555763,-0.09040107,-0.008524291,0.013018988,-0.010900252,-0.003738355,-0.081248134,-0.13467783,0.005132869,63.379433,29.64769,16.01896,-0.16093907,0.2111111111111111
-0.09856859,-0.114930555,-0.012632452,-0.017241403,-0.01304353,0.00074090064,-0.10216669,-0.14399648,-0.014297084,63.723095,30.017061,16.05264,0.06442082,0.2125
-0.06753379,0.01893048,0.027160682,-0.023265928,-0.055466093,0.009150568,-0.033528686,-0.0795135,0.03283962,59.84714,27.884192,15.749388,-0.78143644,0.21388888888888888
0.001277566,-0.033580363,0.016370341,-0.03719352,-0.036251955,0.019088764,-0.033389658,-0.083665036,0.03772913,60.02281,28.306496,15.919651,-0.9665719,0.2152777777777778
-0.049246237,0.022127487,0.16492814,0.011503674,-0.06007407,0.109362125,-0.024112105,-0.043291025,0.047291778,60.60089,20.63752,15.310161,-1.6498708,0.21666666666666667
0.055122294,0.06387536,0.029533863,-0.0040586963,-0.15239766,0.07058031,0.037802115,-0.017467402,-0.074908,59.27987,-1.6183001,16.001703,-1.5120271,0.21805555555555556
0.15365134,0.07677296,-0.029897057,-0.025074154,0.083632186,0.12266262,0.086968586,-0.10361146,-0.1480377,60.446884,27.084332,4.982225,-1.2405261,0.21944444444444444
0.05681891,-0.18692076,0.07638806,0.11268088,-0.017256416,0.029104464,-0.12287033,0.115245,0.06450303,38.836983,28.09334,6.109074,-0.60863566,0.22083333333333333
-0.023030177,-0.09122157,-0.037893526,0.047875702,-0.06925953,-0.024986695,0.010916963,-0.04649459,0.07683672,2.7057185,27.728416,15.442828,-1.961,0.2222222222222222
-0.039465547,0.05729872,0.12942478,-0.10763854,-0.1080899,0.060261052,-0.0006223619,-0.07017364,-0.087413274,17.711199,26.945639,15.23752,-1.1546229,0.22361111111111112
0.0165651,0.018208735,0.083660394,-0.07349527,-0.015142709,-0.0097980015,-0.03194961,0.02217869,-0.045469403,32.83126,27.491951,15.05125,-1.1346729,0.225
-0.04397288,0.032368027,0.036098294,0.011714272,-0.044140853,-0.0073677264,0.011993766,-0.008716144,0.010064695,37.343266,27.16795,15.318512,-1.0743909,0.2263888888888889
-0.019844428,0.006025158,0.001112856,0.015429392,-0.011110567,0.0145663135,-0.026001766,-0.05344761,0.0006058216,38.196995,27.290752,15.449923,-1.4543564,0.22777777777777777
-0.0058393925,-0.009919092,0.01597824,0.023131795,-0.05510602,-0.024255287,-0.0075041354,-0.045304157,0.022353861,37.994015,27.258274,15.750009,-1.6238761,0.22916666666666666
-0.007995874,0.022501692,-0.06979326,0.09165316,-0.054160558,-0.03764486,0.0043298304,-0.07252278,0.0015598983,48.585384,15.180726,14.322026,-1.9302074,0.23055555555555557
-0.045345798,0.19414675,-0.11596011,0.017173678,-0.1627504,0.116651565,0.17645408,-0.008988053,-0.0071696043,49.71364,0.059135627,12.028789,-2.1067317,0.23194444444444445
0.0614789,-0.040483594,0.050012227,-0.14713232,-0.044921763,-0.007910173,-0.14979358,-0.06498008,0.007070966,48.976955,29.284554,-2.0742369,-0.7652041,0.23333333333333334
0.0060932636,0.030405626,0.03425715,-0.029262722,-0.049269132,0.07784607,-0.025798663,-0.022443615,0.052401252,50.475067,27.53979,15.399546,-1.3135945,0.23472222222222222
0.009448767,0.04649844,0.039402418,-0.021666259,-0.065585695,0.035309516,-0.09567423,-0.05370529,-0.043529123,45.24372,27.867052,15.289738,-1.7933961,0.2361111111111111
0.0032822117,-0.027024552,0.024260327,-0.0021296144,0.0010410771,0.008425303,-0.061277054,-0.069201715,-0.010267695,61.73865,29.371185,15.947746,-0.49686122,0.2375
-0.018221363,-0.023441881,0.032382242,-0.040015772,-0.037791736,0.026215784,-0.024141327,-0.024644323,0.052016653,59.17582,27.778608,15.75877,-1.3171587,0.2388888888888889
0.038779035,0.06497046,0.048688713,-0.054167405,-0.030504309,0.01270923,-0.08637833,-0.04759536,0.04390481,59.023735,27.915321,15.234442,-0.98283005,0.24027777777777778
-0.042447865,-0.02285555,0.027283393,-0.055004463,0.0006999001,0.008949805,-0.0030125529,0.01466497,0.029169336,59.667263,27.631502,15.5153885,-1.1232032,0.24166666666666667
-0.02251573,0.03250739,-0.01703278,-0.06397782,0.00020303577,0.021198798,0.020138726,0.0036400184,0.04744456,57.841778,27.425594,15.25377,-1.9096801,0.24305555555555555
-0.13351554,0.08814868,-0.113240756,-0.06052734,-0.20648369,0.049688388,-0.06869353,-0.24918881,-0.07332571,61.62369,10.978909,15.757973,-0.68345726,0.24444444444444444
